make,model,year,rate,rating,reviews,trips_taken,created,city,state,distance,price,days,trips/day,rate/day,price/rate/day
Nissan,Altima,2014,66,5,5,7,2/11/15,Cliffside Park,NJ,8.072184563,18502.71429,95,0.073684211,4.863157895,3804.670686
Mazda,MAZDA3,2012,45,4.875,8,16,11/14/14,Elizabeth,NJ,8.830774307,15421.15789,184,0.086956522,3.913043478,3940.962573
Jeep,Wrangler,2013,115,5,12,23,2/27/14,Hoboken,NJ,3.238220215,23687,444,0.051801802,5.957207207,3976.19206
BMW,4 Series,2015,279,5,3,6,11/21/14,Union City,NJ,4.375052452,38328.5,177,0.033898305,9.457627119,4052.655018
Honda,Civic,2011,59,5,5,8,1/6/15,West New York,NJ,4.957241058,14606.30303,131,0.061068702,3.603053435,4053.868002
Hyundai,Santa Fe,2005,39,5,2,4,2/26/15,MOUNTAIN LAKES,NJ,21.87993813,8058.333333,80,0.05,1.95,4132.478632
Mercedes-Benz,E-Class,2012,267,5,11,21,7/23/13,Union,NJ,8.972520828,35073.875,663,0.031674208,8.457013575,4147.312132
Volkswagen,Passat,2014,49,5,4,6,3/10/15,Jersey City,NJ,2.044853449,18219.38636,68,0.088235294,4.323529412,4214.00773
BMW,3 Series,2009,80,4.6667,12,25,1/15/14,WNY,NJ,5.09250021,17679.76923,487,0.051334702,4.106776181,4305.023808
Honda,Civic,2015,75,5,2,3,3/29/15,Hoboken,NJ,2.725664854,19920.5,49,0.06122449,4.591836735,4338.242222
BMW,X5,2008,100,5,14,29,7/23/13,Jersey City,NJ,2.404404879,19181.5,663,0.043740573,4.374057315,4385.287759
Mazda,CX-9,2014,85,5,2,2,4/16/15,North Bergen,NJ,6.527853489,24528.33333,31,0.064516129,5.483870968,4472.813725
Toyota,Camry,2010,50,4.6667,3,4,3/16/15,woodland Park,NJ,12.65906143,14470.1,62,0.064516129,3.225806452,4485.731
Chevrolet,Malibu,2008,39,None,0,1,4/30/15,Hackensack,NJ,10.55390358,10562,17,0.058823529,2.294117647,4603.948718
Honda,Odyssey,2007,49,4.5,4,6,1/30/15,Bogota,NJ,10.73133659,13012.14286,107,0.056074766,2.747663551,4735.711856
Mercedes-Benz,C-Class,2012,120,5,4,11,10/19/14,Jersey city,NJ,2.411643267,30943.72727,210,0.052380952,6.285714286,4922.865702
Honda,Civic,2006,75,4.6667,3,3,1/18/15,Newark,NJ,6.759342194,9318.652174,119,0.025210084,1.890756303,4928.531594
BMW,3 Series,2008,44,5,6,6,2/20/15,Newark,NJ,5.420017242,15626.41667,86,0.069767442,3.069767442,5090.423611
Chevrolet,Cavalier,2003,42,5,3,6,5/25/14,Keyport,NJ,21.20973396,3775.5,357,0.016806723,0.705882353,5348.625
Cadillac,Escalade,2009,100,5,7,8,1/5/15,East Orange,NJ,7.616406918,32660.25,132,0.060606061,6.060606061,5388.94125
Honda,Accord,2012,50,5,1,1,5/2/15,Hoboken,NJ,2.508007765,18011.80952,15,0.066666667,3.333333333,5403.542857
Buick,LaCrosse,2013,76,4.2857,7,16,7/21/14,Fort Lee,NJ,10.53692436,21929.57143,300,0.053333333,4.053333333,5410.256109
Honda,Accord,2011,55,4.7273,11,18,6/14/14,WNY,NJ,5.144973278,16504.61905,337,0.053412463,2.93768546,5618.239009
Mercedes-Benz,GLK-Class,2014,140,5,10,16,3/10/14,West New York,NJ,4.948286533,29122.66667,433,0.036951501,5.173210162,5629.515476
Nissan,Rogue,2011,65,5,1,3,3/6/15,North bergen,NJ,6.20137167,15589.83333,72,0.041666667,2.708333333,5756.246154
Mercedes-Benz,C-Class,2003,75,5,1,5,7/12/14,Berkeley Heights,NJ,19.09358025,7078.571429,309,0.01618123,1.213592233,5832.742857
Toyota,Corolla,2012,55,5,3,5,1/19/15,Hoboken,NJ,3.100642204,13782,118,0.042372881,2.330508475,5913.730909
Volkswagen,Jetta,2013,60,5,2,8,11/6/14,Edgewater,NJ,8.13841629,15034.25926,192,0.041666667,2.5,6013.703704
Ford,Escape Hybrid,2010,75,5,1,1,4/22/15,Newark,NJ,6.159759045,18445.25,25,0.04,3,6148.416667
Chevrolet,Spark,2015,42,5,5,7,12/19/14,Clark,NJ,13.36460972,12242.5,149,0.046979866,1.973154362,6204.532313
Volkswagen,New Beetle,2006,69,4.8,5,13,5/17/13,Wayne,NJ,15.3176508,7825.7,730,0.017808219,1.228767123,6368.74136
Mercedes-Benz,S-Class,2009,224,5,3,8,8/21/14,Jersey City,NJ,0.852112174,42662.2,269,0.029739777,6.661710037,6404.091406
