make,model,year,rate,reviews,created,price,days,reviews/day,rate*review/day,price vs rate review day
Toyota,Prius c,2013,39,0,4/12/15,16017.75,28,0,0,#DIV/0!
Nissan,Altima,2015,200,0,3/23/15,20559.75,48,0,0,#DIV/0!
Mazda,CX-9,2014,85,0,4/16/15,24440.66667,24,0,0,#DIV/0!
BMW,7 Series,2003,90,0,4/20/15,10142.66667,20,0,0,#DIV/0!
Infiniti,QX60,2015,99,1,4/12/15,None,28,0.035714286,3.535714286,#VALUE!
Jeep,Grand Cherokee,2008,72,0,4/11/15,17107.14286,29,0,0,#DIV/0!
Hyundai,Genesis,2015,199,0,3/31/15,35066,40,0,0,#DIV/0!
Toyota,Camry,2015,120,0,4/28/15,23115.66667,12,0,0,#DIV/0!
Chrysler,Pacifica,2004,39,0,5/9/15,6240,1,0,0,#DIV/0!
Toyota,Avalon,2014,89,0,5/5/15,26224.25,5,0,0,#DIV/0!
Ford,Crown Victoria,2003,32,0,5/5/15,5429,5,0,0,#DIV/0!
Toyota,Camry,2011,90,0,4/23/15,15047.2,17,0,0,#DIV/0!
Honda,Accord,2007,75,0,4/23/15,11041.78788,17,0,0,#DIV/0!
Honda,CR-V,2008,80,0,7/14/14,15635.25,300,0,0,#DIV/0!
Nissan,Maxima,2014,86,0,4/27/15,19948,13,0,0,#DIV/0!
Honda,CR-V,2014,55,0,4/12/15,23643,28,0,0,#DIV/0!
Honda,CR-V,2014,55,0,4/17/15,23643,23,0,0,#DIV/0!
Toyota,Corolla,2015,68,0,3/26/15,16728,45,0,0,#DIV/0!
Chevrolet,Cruze,2013,45,0,5/8/15,13034.33333,2,0,0,#DIV/0!
Mercedes-Benz,G-Class,2011,550,0,4/19/15,80738,21,0,0,#DIV/0!
Mercury,Grand Marquis,2003,88,0,5/3/15,5793.6,7,0,0,#DIV/0!
BMW,6 Series,2004,150,0,4/16/15,15350.5,24,0,0,#DIV/0!
Dodge,Grand Caravan,2014,71,0,12/30/14,17049.33333,131,0,0,#DIV/0!
Jaguar,XF,2010,129,0,3/16/15,29183,55,0,0,#DIV/0!
Nissan,Altima,2013,65,0,5/5/15,16819.66667,5,0,0,#DIV/0!
Infiniti,G Sedan,2011,90,0,8/13/14,21553.4,270,0,0,#DIV/0!
Ford,Mustang,2007,89,0,2/18/15,13235,81,0,0,#DIV/0!
Nissan,Pathfinder,2015,45,0,4/4/15,30115.375,36,0,0,#DIV/0!
Hyundai,Elantra,2008,35,0,1/4/15,8235.833333,126,0,0,#DIV/0!
Acura,TL,2006,50,0,4/21/15,13086.16667,19,0,0,#DIV/0!
