make,model,year,rate,rating,reviews,trips_taken,created,city,state,distance,price,days_listed,avg_trips_taken_per_day,avg_rate_per_day,price_vs_rate_per_day
BMW,1 Series,2010,225.0,None,0,1,2015-05-14 22:09:17,Jersey City,NJ,1.62307357788,18662.5,9,0.111111111111,25.0,746.5
Infiniti,JX,2013,179.0,5,3,5,2014-10-20 20:39:06,Jersey City,NJ,0.41779756546,28650.5,215,0.0232558139535,4.16279069767,6882.52234637
Nissan,Altima,2013,89.0,5,9,13,2014-10-20 21:03:00,Jersey city,NJ,0.426239788532,17028.6666667,215,0.0604651162791,5.38139534884,3164.35897436
Land Rover,Range Rover Sport,2011,220.0,None,0,1,2015-05-14 22:39:22,Jersey City,NJ,1.56867682934,41317.0,9,0.111111111111,24.4444444444,1690.24090909
Volvo,C70,2004,49.0,None,0,0,2015-03-28 17:36:21,Hoboken,NJ,2.71691417694,7429.5,56,0.0,0.0,None
Mazda,CX-9,2011,73.0,5,7,12,2015-02-28 21:52:41,Jersey City,NJ,1.51086974144,20343.0,84,0.142857142857,10.4285714286,1950.69863014
Mazda,MAZDA5,2009,59.0,4.75,4,9,2015-03-14 10:14:33,Jersey City,NJ,1.46079826355,10528.0,70,0.128571428571,7.58571428571,1387.87193974
Toyota,Camry Solara,2005,49.0,5,1,1,2015-05-16 16:03:43,Jersey City,NJ,0.709292769432,8418.0,7,0.142857142857,7.0,1202.57142857
Chevrolet,Malibu,2004,25.0,5,2,3,2015-05-05 22:54:10,Jersey City,NJ,0.743754446507,5116.66666667,18,0.166666666667,4.16666666667,1228.0
Honda,CR-V,2015,85.0,5,1,1,2015-04-28 19:44:22,Jersey City,NJ,0.747678220272,25567.3,25,0.04,3.4,7519.79411765
Mercedes-Benz,S-Class,2009,219.0,5,6,10,2014-08-21 09:05:12,Jersey City,NJ,0.852112174034,42662.2,275,0.0363636363636,7.96363636364,5357.12557078
Audi,A7,2015,260.0,5,1,1,2015-03-29 17:07:30,Jersey City,NJ,0.808709204197,None,55,0.0181818181818,4.72727272727,None
Toyota,Prius,2008,52.0,4.8333,6,12,2015-04-22 13:12:08,Jersey City,NJ,1.55949580669,11712.3333333,31,0.387096774194,20.1290322581,581.862713675
Land Rover,Range Rover,2009,149.0,5,29,52,2014-08-06 08:22:06,Jersey City,NJ,2.47417545319,32984.0,290,0.179310344828,26.7172413793,1234.55859577
Land Rover,Range Rover,2009,149.0,4.9512,41,66,2014-05-19 13:43:26,Jersey City,NJ,2.4524204731,32984.0,369,0.178861788618,26.6504065041,1237.65466748
Land Rover,Range Rover Sport,2011,149.0,5,2,4,2015-04-22 21:12:07,Jersey City,NJ,2.47024440765,41317.0,31,0.129032258065,19.2258064516,2149.0385906
Land Rover,Range Rover Sport,2011,149.0,5,11,20,2015-02-20 17:17:39,Jersey City,NJ,2.50704574585,41317.0,92,0.217391304348,32.3913043478,1275.55838926
Land Rover,Range Rover Sport,2011,149.0,4.9,10,18,2015-02-26 16:01:39,Jersey City,NJ,2.51249957085,41317.0,86,0.209302325581,31.1860465116,1324.85533184
Toyota,RAV4,2010,47.0,5,19,25,2015-01-03 12:24:15,Jersey City,NJ,1.56399548054,17197.6666667,140,0.178571428571,8.39285714286,2049.08368794
Nissan,Altima,2012,60.0,5,10,12,2015-03-23 13:52:22,Jersey City,NJ,2.40588116646,15917.5714286,61,0.196721311475,11.8032786885,1348.57202381
Honda,Accord,2005,37.0,5,2,5,2015-04-21 16:31:49,Jersey City,NJ,2.29454231262,8424.85365854,32,0.15625,5.78125,1457.27198418
Volkswagen,Beetle Convertible,2013,75.0,5,1,5,2014-07-31 23:22:53,Jersey City,NJ,0.754063010216,19381.3783784,296,0.0168918918919,1.26689189189,15298.368
Honda,CR-V,2006,49.0,4.9167,36,72,2014-01-18 18:36:09,Jersey City,NJ,1.30124843121,11519.8333333,490,0.14693877551,7.2,1599.97685185
Honda,CR-V,2014,55.0,4.7619,21,33,2014-11-07 10:31:24,Jersey City,NJ,2.45456576347,23813.3,197,0.167512690355,9.21319796954,2584.69426997
Honda,Accord,2014,85.0,4.7,10,14,2015-03-03 15:51:33,Jersey City,NJ,2.35976409912,21454.6666667,81,0.172839506173,14.6913580247,1460.35966387
Mercedes-Benz,C-Class,2012,120.0,5,4,11,2014-10-19 13:53:23,Jersey city,NJ,2.41164326668,30943.7272727,216,0.0509259259259,6.11111111111,5063.51900826
Jeep,Grand Cherokee,2005,135.0,5,5,10,2014-09-22 19:15:02,Jersey City,NJ,1.90943241119,9001.75,243,0.0411522633745,5.55555555556,1620.315
Audi,A5,2012,150.0,5,10,14,2014-10-23 19:37:59,Jersey City,NJ,0.753665268421,26611.0,212,0.0660377358491,9.90566037736,2686.44380952
Infiniti,G37,2009,159.0,None,0,0,2015-05-22 04:31:27,Jersey City,NJ,1.4727101326,17563.4,1,0.0,0.0,None
Infiniti,G37,2009,139.0,5,1,1,2014-10-08 07:42:09,Jersey City,NJ,1.47376918793,17563.4,227,0.00440528634361,0.612334801762,28682.6748201
Cadillac,DeVille,2005,39.0,4.7143,7,11,2015-04-01 22:36:34,Jersey City,NJ,2.38783764839,6642.75,52,0.211538461538,8.25,805.181818182
Honda,Pilot,2014,95.0,4.8333,6,10,2015-02-28 18:08:43,Jersey City,NJ,2.39980745316,29728.6666667,84,0.119047619048,11.3095238095,2628.64
Chevrolet,Sonic,2014,40.0,4.95,20,26,2014-10-31 06:41:08,Jersey city,NJ,1.9710201025,12337.6875,204,0.127450980392,5.09803921569,2420.08485577
Honda,Accord,2012,50.0,5,1,1,2015-05-02 19:34:19,Hoboken,NJ,2.50800776482,18011.8095238,21,0.047619047619,2.38095238095,7564.96
Audi,A5,2013,150.0,4.7813,32,56,2012-12-26 17:58:45,Jersey City,NJ,2.54603695869,33683.25,878,0.0637813211845,9.56719817768,3520.70160714
Volkswagen,Passat,2014,49.0,5,5,6,2015-03-10 11:56:33,Jersey City,NJ,2.04485344887,18219.3863636,74,0.0810810810811,3.97297297297,4585.83194187
Lexus,LS 460,2010,65.0,5,9,13,2014-09-19 17:41:03,Jersey City,NJ,2.41205739975,35209.25,246,0.0528455284553,3.43495934959,10250.2668639
Ford,Escape Hybrid,2010,75.0,5,2,2,2015-04-22 22:28:00,Newark,NJ,6.15975904465,18445.25,31,0.0645161290323,4.83870967742,3812.01833333
BMW,X5,2008,100.0,5,14,30,2013-07-23 03:15:42,Jersey City,NJ,2.40440487862,19181.5,669,0.0448430493274,4.48430493274,4277.4745
Honda,Civic,2012,50.0,None,0,0,2015-05-21 11:46:40,Jersey City,NJ,2.36128973961,16294.2903226,2,0.0,0.0,None
Acura,TL,2007,75.0,4.85,20,53,2013-05-10 12:23:30,Jersey City,NJ,0.678857326508,15595.6666667,743,0.07133243607,5.34993270525,2915.11454927
Jeep,Grand Cherokee,2008,67.0,4.9286,14,23,2014-11-22 06:46:42,Jersey City,NJ,2.25253677368,17176.8571429,182,0.126373626374,8.46703296703,2028.67488644
BMW,X6,2014,264.0,None,0,0,2014-09-29 19:29:13,Jersey City,NJ,1.58640813828,48726.5,236,0.0,0.0,None
Audi,TT,2009,70.0,5,4,7,2014-04-15 13:11:59,Newark,NJ,4.92317247391,20672.125,403,0.0173697270471,1.2158808933,17001.7681122
BMW,3 Series,2008,50.0,5,7,8,2015-02-20 13:17:46,Newark,NJ,5.42001724243,15626.4166667,92,0.0869565217391,4.34782608696,3594.07583333
Nissan,Altima,2015,200.0,None,0,0,2015-03-23 14:27:48,Weehawken,NJ,4.37364768982,20559.75,61,0.0,0.0,None
Jeep,Wrangler,2013,115.0,5,12,25,2014-02-27 17:05:48,Hoboken,NJ,3.23822021484,23687.0,450,0.0555555555556,6.38888888889,3707.53043478
Ford,Mustang,2015,100.0,5,2,2,2015-04-10 15:41:07,Jersey City,NJ,2.23937225342,None,43,0.046511627907,4.6511627907,None
Toyota,Corolla,2012,65.0,5,3,5,2015-01-19 12:56:11,Hoboken,NJ,3.10064220428,13782.0,124,0.0403225806452,2.62096774194,5258.36307692
BMW,4 Series,2014,139.0,5,1,1,2015-05-10 10:38:32,North Bergen,NJ,6.55662631989,37116.0,13,0.0769230769231,10.6923076923,3471.28057554
Volkswagen,Passat,2014,65.0,5,6,7,2014-11-11 09:23:42,Hoboken,NJ,2.58787345886,18219.3863636,193,0.0362694300518,2.35751295337,7728.22322677
Toyota,Camry,2011,90.0,None,0,0,2015-04-23 14:35:48,Newark,NJ,6.67577457428,15106.7,30,0.0,0.0,None
Mercedes-Benz,E-Class,2010,325.0,None,0,0,2014-12-09 20:21:28,fairview,NJ,7.27291631699,26993.0,165,0.0,0.0,None
Nissan,Altima,2013,56.0,5,1,1,2015-04-28 14:09:25,hoboken,NJ,2.49466109276,17028.6666667,25,0.04,2.24,7602.08333333
