make,model,year,rate,rating,reviews,trips_taken,created,city,state,distance,price,days_listed,avg_trips_taken_per_day,avg_rate_per_day,price_vs_rate_per_day
Mercedes-Benz,C-Class,2010,60.0,None,0,0,2015-04-29 19:23:46,Jersey City,NJ,1.78810107708,21723.6666667,38,0.0,0.0,None
Volkswagen,GTI,2013,100.0,None,0,0,2015-05-22 14:54:04,JERSEY CITY,NJ,0.866184532642,19724.075,16,0.0,0.0,None
Volkswagen,Passat,2013,100.0,None,0,0,2014-07-08 10:08:03,Jersey City,NJ,2.48036909103,17007.2962963,334,0.0,0.0,None
Scion,xB,2012,39.0,5,4,5,2013-05-18 01:43:16,Hoboken,NJ,2.69329977036,14319.0,750,0.00666666666667,0.26,55073.0769231
Cadillac,Escalade,2009,100.0,5,9,14,2015-01-05 10:26:44,East Orange,NJ,7.61640691757,32633.75,153,0.0915032679739,9.15032679739,3566.40267857
Lexus,LS 600h L,2008,185.0,None,0,0,2015-02-10 13:54:48,Hoboken,NJ,2.64055132866,33326.0,117,0.0,0.0,None
Infiniti,M37,2011,75.0,5,19,25,2014-10-23 20:55:32,East Orange,NJ,7.59154129028,25513.5,226,0.110619469027,8.29646017699,3075.2272
Toyota,Prius c,2013,39.0,4,1,1,2015-04-12 09:01:59,Lyndhurst,NJ,5.96666240692,15859.0,56,0.0178571428571,0.696428571429,22771.8974359
Ford,Focus,2013,45.0,5,12,13,2015-04-08 14:42:35,West Orange,NJ,9.08119297028,13783.8333333,60,0.216666666667,9.75,1413.72649573
BMW,7 Series,2012,180.0,None,0,0,2015-05-29 16:22:27,Fort Lee,NJ,9.14370632172,44482.0,9,0.0,0.0,None
Volkswagen,Jetta,2012,59.0,4,1,1,2015-05-27 11:46:16,West Orange,NJ,9.148188591,14179.6666667,11,0.0909090909091,5.36363636364,2643.66666667
Lexus,GS 350,2013,200.0,None,0,0,2015-05-30 11:51:36,Jersey City,NJ,2.16376304626,31189.0,8,0.0,0.0,None
Dodge,Challenger,2012,75.0,5,21,31,2013-06-16 13:05:54,East Orange,NJ,7.62854862213,25155.6666667,721,0.0429958391123,3.22468793343,7800.96157706
Toyota,Sienna,2013,82.0,5,4,7,2015-01-13 22:55:32,Cliffside Park,NJ,7.33309745789,25065.8333333,144,0.0486111111111,3.98611111111,6288.29268293
Jeep,Wrangler,2012,59.0,5,6,11,2014-11-09 19:39:57,Bayonne,NJ,5.87332344055,23399.7142857,209,0.0526315789474,3.10526315789,7535.50121065
Honda,CR-V,2010,47.0,None,0,0,2015-05-01 14:16:15,Jersey City,NJ,1.55701041222,19082.75,37,0.0,0.0,None
Honda,Civic,2006,75.0,4.6667,3,3,2015-01-18 19:03:23,Newark,NJ,6.7593421936,9223.82608696,139,0.0215827338129,1.61870503597,5698.27478261
Hyundai,Sonata,2014,90.0,None,0,0,2015-02-10 16:41:02,Newark,NJ,6.72266435623,17580.875,117,0.0,0.0,None
Nissan,Altima,2014,66.0,5,7,9,2015-02-11 15:44:08,Cliffside Park,NJ,8.07218456268,18289.8571429,116,0.0775862068966,5.12068965517,3571.75661376
MINI,Cooper Countryman,2015,62.0,5,1,2,2015-05-27 11:49:05,bayonne,NJ,6.43613386154,22964.5,11,0.181818181818,11.2727272727,2037.1733871
