make,model,year,rate,rating,reviews,trips_taken,created,price
Nissan,Murano CrossCabriolet,2013,129.0,5,1,2,2015-02-17,27638.0
Chevrolet,Cavalier,2003,42.0,5,3,6,2014-05-25,3775.5
BMW,3 Series,2011,120.0,5,4,5,2014-05-25,23339.4
Ford,Mustang,2007,89.0,None,0,0,2015-02-18,13447.125
Honda,Civic,2012,32.0,5,6,17,2012-12-04,16294.2903226
Nissan,Pathfinder,2015,45.0,None,0,0,2015-04-04,30212.0
Hyundai,Elantra,2008,35.0,None,0,2,2015-01-04,8229.83333333
Honda,Civic,2006,50.0,5,3,10,2015-03-25,9318.65217391
Hyundai,Sonata,2014,70.0,5,2,2,2015-02-10,17546.625
Acura,TL,2006,50.0,None,0,0,2015-04-21,13189.8333333
Toyota,Corolla,2009,30.0,4.76,25,29,2014-11-17,11070.375
Nissan,Sentra,2009,30.0,4.9048,21,32,2014-11-17,10717.9090909
