make,model,year,rate,rating,reviews,trips_taken,created,city,state,distance,price,days_listed,avg_trips_taken_per_day,avg_rate_per_day,price_vs_rate_per_day
BMW,X5,2008,100.0,5,14,30,2013-07-23 03:15:42,Jersey City,NJ,2.40440487862,19181.5,673,0.0445765230312,4.45765230312,4303.04983333
Audi,A5,2013,149.0,None,0,0,2015-02-08 13:41:24,Jersey City,NJ,2.38475441933,33683.25,108,0.0,0.0,None
Acura,TL,2007,75.0,4.85,20,54,2013-05-10 12:23:30,Jersey City,NJ,0.678857326508,15595.6666667,747,0.0722891566265,5.42168674699,2876.53407407
Jeep,Grand Cherokee,2008,67.0,4.9286,14,24,2014-11-22 06:46:42,Jersey City,NJ,2.25253677368,17176.8571429,186,0.129032258065,8.64516129032,1986.87526652
BMW,X6,2014,264.0,None,0,0,2014-09-29 19:29:13,Jersey City,NJ,1.58640813828,48726.5,240,0.0,0.0,None
Mazda,CX-5,2014,80.0,5,3,6,2014-09-14 22:41:05,Jersey City,NJ,2.47498512268,20334.0,255,0.0235294117647,1.88235294118,10802.4375
Audi,TT,2009,75.0,5,4,7,2014-04-15 13:11:59,Newark,NJ,4.92317247391,20672.125,407,0.017199017199,1.28992628993,16025.8188095
Honda,Civic,2011,50.0,None,0,1,2015-02-07 11:45:34,jersey city,NJ,2.11759805679,14606.3030303,109,0.00917431192661,0.45871559633,31841.7406061
BMW,3 Series,2008,50.0,5,8,9,2015-02-20 13:17:46,Newark,NJ,5.42001724243,15626.4166667,96,0.09375,4.6875,3333.63555556
Toyota,Corolla,2012,65.0,4.75,4,6,2015-01-19 12:56:11,Hoboken,NJ,3.10064220428,13782.0,128,0.046875,3.046875,4523.32307692
Jeep,Wrangler,2013,115.0,5,12,26,2014-02-27 17:05:48,Hoboken,NJ,3.23822021484,23687.0,454,0.057268722467,6.5859030837,3596.62140468
Nissan,Altima,2015,200.0,None,0,0,2015-03-23 14:27:48,Weehawken,NJ,4.37364768982,20559.75,65,0.0,0.0,None
Ford,Mustang,2015,100.0,5,3,3,2015-04-10 15:41:07,Jersey City,NJ,2.23937225342,None,47,0.063829787234,6.3829787234,None
Honda,Civic,2012,50.0,None,0,1,2015-05-21 11:46:40,Jersey City,NJ,2.36128973961,16294.2903226,6,0.166666666667,8.33333333333,1955.31483871
Honda,Accord,2007,75.0,None,0,1,2015-04-23 15:01:36,Newark,NJ,6.70634651184,11033.1515152,34,0.0294117647059,2.20588235294,5001.69535354
Volkswagen,Passat,2014,65.0,5,6,7,2014-11-11 09:23:42,Hoboken,NJ,2.58787345886,18219.3863636,197,0.0355329949239,2.30964467005,7888.39365634
Toyota,Camry,2011,90.0,None,0,0,2015-04-23 14:35:48,Newark,NJ,6.67577457428,15106.7,34,0.0,0.0,None
Mercedes-Benz,E-Class,2010,325.0,None,0,0,2014-12-09 20:21:28,fairview,NJ,7.27291631699,26993.0,169,0.0,0.0,None
Nissan,Altima,2013,56.0,5,1,2,2015-04-28 14:09:25,hoboken,NJ,2.49466109276,17028.6666667,29,0.0689655172414,3.86206896552,4409.20833333
Toyota,Camry,2015,49.0,5,1,2,2015-02-13 22:17:03,Lyndhurst,NJ,6.01488208771,23115.6666667,103,0.0194174757282,0.95145631068,24295.037415
BMW,4 Series,2014,139.0,5,1,2,2015-05-10 10:38:32,North Bergen,NJ,6.55662631989,37116.0,17,0.117647058824,16.3529411765,2269.68345324
Audi,Q5,2012,99.0,5,2,2,2014-11-22 17:45:43,Hoboken,NJ,2.74788713455,28151.0,186,0.010752688172,1.06451612903,26444.8787879
Honda,Accord,2007,65.0,5,9,25,2014-01-15 12:25:18,Jersey City,NJ,2.44514632225,11033.1515152,497,0.0503018108652,3.26961770624,3374.44695571
Honda,Accord,2007,65.0,4.8571,7,11,2014-01-20 21:44:39,Hoboken,NJ,2.66418075562,11033.1515152,492,0.0223577235772,1.45325203252,7592.04272092
Honda,Accord,2012,50.0,5,2,2,2015-04-19 20:08:36,Hoboken,NJ,2.60018324852,18011.8095238,38,0.0526315789474,2.63157894737,6844.48761905
Mercedes-Benz,C-Class,2010,60.0,None,0,0,2015-04-29 19:23:46,Jersey City,NJ,1.78810107708,21859.6666667,28,0.0,0.0,None
