make,model,year,rate,rating,reviews,trips_taken,created,city,state,distance,price,days_listed,avg_trips_taken_per_day,avg_rate_per_day,price_vs_rate_per_day
Ford,F-150,2015,127,None,0,0,2015-11-15 21:17:06,North Las Vegas,NV,0.0,29685.075,27,0.0,0.0,None
GMC,Sierra 1500,2005,26,None,0,2,2015-11-29 13:09:15,Las Vegas,NV,0.0,11159.8857143,14,0.142857142857,3.71428571429,3004.58461538
Lexus,RX 400h,2008,50,5,23,31,2015-06-03 20:55:29,Las Vegas,NV,0.0,16800.5,192,0.161458333333,8.07291666667,2081.09419355
BMW,5 Series,2015,112,None,0,1,2015-11-01 15:01:34,Las Vegas,NV,0.0,44219.625,41,0.0243902439024,2.73170731707,16187.5412946
Lexus,RC 350,2015,62,4.6667,18,25,2015-06-20 05:43:18,LAS VEGAS,NV,0.0,33115.0,176,0.142045454545,8.80681818182,3760.15483871
Jeep,Grand Cherokee SRT,2015,261,None,0,0,2015-09-01 15:54:00,Las Vegas ,NV,0.0,53454.0,102,0.0,0.0,None
Honda,Accord,2012,42,None,0,1,2015-11-12 03:55:56,Las Vegas,NV,0.0,15926.1904762,31,0.0322580645161,1.35483870968,11755.0453515
FIAT,500e,2013,50,4.8571,7,7,2014-06-27 02:30:26,Las Vegas,NV,0.0,19038.0,534,0.0131086142322,0.65543071161,29046.5485714
Honda,Odyssey,2004,40,4.9773,44,56,2014-03-21 20:38:01,Las Vegas,NV,0.0,5705.66666667,631,0.0887480190174,3.5499207607,1607.26592262
BMW,3 Series,2009,66,5,18,21,2014-08-27 18:04:34,Las Vegas,NV,0.0,15329.3846154,472,0.0444915254237,2.93644067797,5220.3964924
Chevrolet,Camaro,2015,58,None,0,1,2015-11-19 22:27:37,Las Vegas,NV,0.0,28957.3076923,23,0.0434782608696,2.52173913043,11483.0702918
BMW,Z4,2005,35,5,3,4,2015-08-16 17:57:55,Las Vegas,NV,0.0,11253.0,118,0.0338983050847,1.18644067797,9484.67142857
BMW,3 Series,2012,78,5,1,2,2015-07-17 17:08:03,Las Vegas,NV,0.0,24519.5833333,148,0.0135135135135,1.05405405405,23262.1688034
Lincoln,MKZ,2015,118,None,0,1,2015-10-28 22:36:35,Las Vegas,NV,0.0,26863.5,45,0.0222222222222,2.62222222222,10244.5550847
